itemId,name,category
6347,Riviera Cottage Roof (Wood),Roof
6348,Riviera Cottage Roof (Composite),Roof
6349,Riviera Cottage Roof (Stone),Roof
6350,Riviera House Roof (Wood),Roof
6351,Riviera House Roof (Composite),Roof
6352,Riviera House Roof (Stone),Roof
6356,Glade Cottage Roof (Wood),Roof
6357,Glade Cottage Roof (Composite),Roof
6358,Glade Cottage Roof (Stone),Roof
6359,Glade House Roof (Wood),Roof
6360,Glade House Roof (Composite),Roof
6361,Glade House Roof (Stone),Roof
6365,Oasis Cottage Roof (Wood),Roof
6366,Oasis Cottage Roof (Composite),Roof
6367,Oasis Cottage Roof (Stone),Roof
6368,Oasis House Roof (Wood),Roof
6369,Oasis House Roof (Composite),Roof
6370,Oasis House Roof (Stone),Roof
6374,Riviera Cottage Wall (Wood),Exterior Wall
6375,Riviera Cottage Wall (Composite),Exterior Wall
6376,Riviera Cottage Wall (Stone),Exterior Wall
6377,Riviera House Wall (Wood),Exterior Wall
6378,Riviera House Wall (Composite),Exterior Wall
6379,Riviera House Wall (Stone),Exterior Wall
6383,Glade Cottage Wall (Wood),Exterior Wall
6384,Glade Cottage Wall (Composite),Exterior Wall
6385,Glade Cottage Wall (Stone),Exterior Wall
6386,Glade House Wall (Wood),Exterior Wall
6387,Glade House Wall (Composite),Exterior Wall
6388,Glade House Wall (Stone),Exterior Wall
6392,Oasis Cottage Wall (Wood),Exterior Wall
6393,Oasis Cottage Wall (Composite),Exterior Wall
6394,Oasis Cottage Wall (Stone),Exterior Wall
6395,Oasis House Wall (Wood),Exterior Wall
6396,Oasis House Wall (Composite),Exterior Wall
6397,Oasis House Wall (Stone),Exterior Wall
6401,Riviera Arched Window,Window
6402,Riviera Bay Window,Window
6403,Riviera Oblong Window,Window
6404,Glade Classical Window,Window
6405,Glade Rounded Window,Window
6406,Glade Lancet Window,Window
6407,Oasis Oblong Window,Window
6408,Oasis Lancet Window,Window
6409,Oasis Octagonal Window,Window
6410,Riviera Wooden Door,Door
6411,Riviera Studded Door,Door
6412,Riviera Ornate Door,Door
6413,Glade Classical Door,Door
6414,Glade Lancet Door,Door
6415,Glade Arched Door,Door
6416,Oasis Arched Door,Door
6417,Oasis Crowned Door,Door
6418,Oasis Classical Door,Door
6419,Riviera Rounded Chimney,Roof Decoration
6420,Riviera Stone Chimney,Roof Decoration
6421,Glade Thatch Chimney,Roof Decoration
6422,Glade Rounded Chimney,Roof Decoration
6423,Oasis Stone Chimney,Roof Decoration
6424,Oasis Rounded Chimney,Roof Decoration
6425,Chocobo Weathervane,Roof Decoration
