itemId,name,category
2,Fire Shard,Duty item
3,Ice Shard,Duty item
4,Wind Shard,Duty item
5,Earth Shard,Duty item
6,Lightning Shard,Duty item
7,Water Shard,Duty item
1602,Bronze Bastard Sword,Gladiator's Arm
1603,Viking Sword,Gladiator's Arm
1604,Ash Macuahuitl,Gladiator's Arm
1605,Bronze Spatha,Gladiator's Arm
1607,Brass Bastard Sword,Gladiator's Arm
1609,Brass Viking Sword,Gladiator's Arm
1611,Carnage Sword,Gladiator's Arm
1614,Iron Shortsword,Gladiator's Arm
1622,Iron Spatha,Gladiator's Arm
1625,Steel Broadsword,Gladiator's Arm
1627,Elm Macuahuitl,Gladiator's Arm
1633,Steel Falchion,Gladiator's Arm
1635,Vintage Bastard Sword,Gladiator's Arm
1636,Blunt Aeolian Scimitar,Duty item
1637,Walnut Macuahuitl,Gladiator's Arm
1639,Steel Longsword,Gladiator's Arm
1642,Goblin Scimitar,Gladiator's Arm
1643,Mythril Broadsword,Gladiator's Arm
1648,Vintage Viking Sword,Gladiator's Arm
1649,Goblin Longsword,Gladiator's Arm
1650,Plumed Oak Macuahuitl,Gladiator's Arm
1657,Cobalt Katzbalger,Gladiator's Arm
1659,Cobalt Shamshir,Gladiator's Arm
1663,Cobalt Winglet,Gladiator's Arm
1666,Giantsgall Longsword,Gladiator's Arm
1670,Aeolian Scimitar,Gladiator's Arm
1673,Mailbreaker,Gladiator's Arm
1681,Bone Hora,Pugilist's Arm
1682,Leather Himantes,Pugilist's Arm
1683,Ramhorn Claws,Pugilist's Arm
1684,Bronze Knuckles,Pugilist's Arm
1685,Hard Leather Himantes,Pugilist's Arm
1686,Brass Knuckles,Pugilist's Arm
1688,Goatskin Cesti,Pugilist's Arm
1694,Spiked Knuckles,Pugilist's Arm
1697,Toadskin Cesti,Pugilist's Arm
1699,Steel Claws,Pugilist's Arm
1706,Crabshell Hora,Pugilist's Arm
1708,Boarskin Himantes,Pugilist's Arm
1711,Mythril Claws,Pugilist's Arm
1716,Tortoiseshell Hora,Pugilist's Arm
1723,Cobalt Knuckles,Pugilist's Arm
1728,Peisteskin Cesti,Pugilist's Arm
1732,Vintage Hora,Pugilist's Arm
1733,Cobalt Claws,Pugilist's Arm
1736,Giantsgall Claws,Pugilist's Arm
1740,Wildling's Cesti,Pugilist's Arm
1743,Avengers,Pugilist's Arm
1750,Bronze War Axe,Marauder's Arm
1751,Bronze Labrys,Marauder's Arm
1752,Cloud Axe,Marauder's Arm
1753,Spiked Bronze Labrys,Marauder's Arm
1754,Iron War Axe,Marauder's Arm
1756,Iron Labrys,Marauder's Arm
1758,Inferno Axe,Marauder's Arm
1764,Iron Bill,Marauder's Arm
1766,Thunderstorm Axe,Marauder's Arm
1769,Spiked Steel Labrys,Marauder's Arm
1776,Steel Bardiche,Marauder's Arm
1778,Steel Bhuj,Marauder's Arm
1781,Spiked Mythril Labrys,Marauder's Arm
1786,Mythril Bhuj,Marauder's Arm
1796,Buccaneer's Bardiche,Marauder's Arm
1800,Vintage Bill,Marauder's Arm
1801,Demilune Bhuj,Marauder's Arm
1803,Spiked Cobalt Labrys,Marauder's Arm
1806,Giantsgall War Axe,Marauder's Arm
1810,Barbarian's Bardiche,Marauder's Arm
1813,Rampager,Marauder's Arm
1820,Bone Harpoon,Lancer's Arm
1821,Bronze Spear,Lancer's Arm
1822,Ramhorn Harpoon,Lancer's Arm
1823,Feathered Harpoon,Lancer's Arm
1824,Brass Spear,Lancer's Arm
1825,Iron Spear,Lancer's Arm
1827,Iron Lance,Lancer's Arm
1833,Iron Guisarme,Lancer's Arm
1836,Silver Battle Fork,Lancer's Arm
1838,Steel Halberd,Lancer's Arm
1845,Steel Spear,Lancer's Arm
